artefact,smart_section,smart_component,note
TechnicalDocumentation,All 7 sections,Schema,"Whole template covers EU AI Act Art. 11 / EU MDR Art. 10(4)."
RiskManagementSystem,Section 7,Schema,"Benefit–Risk Summary."
DataGovernancePolicy,Section 3,Schema,"Data Provenance section."
TrainingDataDescription,Section 3,Schema,"Data Provenance / OMOP concepts."
ValidationDataDescription,Section 4,Schema,"Performance Characterisation."
PerformanceMetrics,Section 5,Schema,"Performance Characterisation."
ExternallyValidatedMetrics,Section 4,Schema,"Validated-vs-claimed split."
SubgroupPerformance,Section 4,Schema,"Subgroup / fairness fields."
LimitationsStatement,Section 6,Schema,"Caveats & Limitations."
IntendedUse,Section 2,Schema,"Intended Use and Clinical Context."
BenefitRiskAssessment,Section 5,Schema,"Benefit–Risk Summary."
PostMarketSurveillancePlan,Section 7,Schema+Lifecycle,"Caveats + governed lifecycle Maintain phase."
PostMarketMonitoringReport,N/A,Lifecycle,"Lifecycle Revise transitions."
SeriousIncidentReport,Section 7,Schema,"Caveats & Limitations free-text capture."
TransparencyInformation,Sections 1-2,Schema,"Identification + Intended Use exports."
HumanOversightProvisions,Section 7,Schema,"Governance section."
CybersecurityProvisions,Section 7,Schema,"Governance section."
ChangeControlPlan,N/A,Lifecycle,"Lifecycle revision dialogue + version registry."
VersionLog,N/A,Lifecycle+Chain,"On-chain version registry."
ConformityAssessment,Section 7,Schema,"Governance section."
DeclarationOfConformity,Section 7,Schema,"Governance section."
DeviceIdentifier,Section 1,Schema,"Model Identification (UDI-DI / GMDN)."
TrainingProtocol,Section 3,Schema,"Data Provenance + protocol."
TestProtocol,Section 4,Schema,"Performance Characterisation methods."
TrustworthinessAssessment,Section 5,Schema,"Benefit–Risk Summary."
AccessControlPolicy,N/A,Lifecycle+Chain,"Role-based smart accounts + AccessControl."
AuditTrail,N/A,Chain,"On-chain ActionRecord ledger."
RoleAssignment,N/A,Lifecycle+Chain,"Per-role smart accounts."
LanguageLocalisation,N/A,Schema,"JSON/HTML/Markdown export channels."
DecisionRecord,N/A,N/A,"Out of scope — pertains to authorities, not the developer."
InvestigationReport,N/A,N/A,"Out of scope — authority-side investigation."
ElectronicSubmission,N/A,N/A,"Out of scope — EU regulatory submission system."
ContactInformation,Section 1,Schema,"Model Identification — single contact point."
DeviceSamples,N/A,N/A,"Out of scope — physical device samples."
ChangeNotification,N/A,Lifecycle,"Lifecycle revision dialogue records changes."
CorrectiveAction,Section 7,Schema+Lifecycle,"Caveats & Limitations + Revise transition."
GeneratedContentDisclosure,N/A,N/A,"Out of scope — applies to generative-AI outputs, not model-card metadata."
Registration,N/A,Lifecycle+Chain,"On-chain registration of the model card."
RegulatorySandbox,N/A,N/A,"Out of scope — sandbox provision applies to deployment infrastructure."
TemplateForm,All 7 sections,Schema,"SMART model card itself is a template form."
QualityAssuranceSampling,N/A,N/A,"Out of scope — physical device QA."
Mandate,N/A,N/A,"Out of scope — authorised-representative mandates."
SandboxOutcome,N/A,N/A,"Out of scope — sandbox exit reports."

