tier,modal,note
Mandatory,shall,"Hard obligation. EU regulation default."
Mandatory,must,"Hard obligation. FDA + ISO style."
Mandatory,is required to,"Hard obligation expressed periphrastically."
Mandatory,are required to,"Hard obligation expressed periphrastically."
Mandatory,shall not,"Hard prohibition; counted as obligation (negative)."
Mandatory,must not,"Hard prohibition; counted as obligation (negative)."
Recommended,should,"Soft obligation. TRIPOD+AI / FDA Action Plan style."
Recommended,should not,"Soft prohibition."
Recommended,recommended,"Recommendation language, e.g. 'it is recommended that'."
Recommended,is recommended to,"Recommendation, periphrastic."
Recommended,we recommend,"Recommendation, first-person (TRIPOD+AI)."
Permitted,may,"Permission. Not an obligation; included only for completeness."
Permitted,can,"Capability statement; included only for completeness."
