slot,sub,super,note
bearer,Manufacturer,Provider,"EU MDR Manufacturer is an EU AI Act Provider for documentation purposes."
bearer,Sponsor,Provider,"FDA Sponsor and EU Provider play parallel roles."
bearer,Developer,Provider,"Author of model = entity bringing it to market."
bearer,Authorised_Representative,Provider,"Acts on behalf of Provider."
bearer,Importer,Provider,"In the regulated supply chain a delegated Provider role."
bearer,Distributor,Provider,"In the regulated supply chain a delegated Provider role."
bearer,Operator,Deployer,"Hospital operator using a device on a patient."
bearer,Reviewer,Authority,"Independent reviewer acts in an authority-side role."
bearer,Notified_Body,Authority,"Conformity-assessment body, authority delegate."
predicate,Verify,Assess,"Verification is a stricter form of assessment."
predicate,Approve,Verify,"Approval requires verification then sign-off."
predicate,Translate,Disclose,"Localised disclosure is a kind of disclosure."
predicate,RecordChange,Maintain,"Versioning is part of maintenance."
artefact,RiskManagementSystem,TechnicalDocumentation,"Risk-management plan is a section of technical documentation."
artefact,DataGovernancePolicy,TechnicalDocumentation,"Data-governance section sits inside tech doc."
artefact,TrainingDataDescription,DataGovernancePolicy,"Training-data description = part of data-governance."
artefact,ValidationDataDescription,DataGovernancePolicy,"Validation-data description = part of data-governance."
artefact,PerformanceMetrics,TechnicalDocumentation,"Performance section sits inside tech doc."
artefact,ExternallyValidatedMetrics,PerformanceMetrics,"Externally-validated metrics are a subset of performance metrics."
artefact,SubgroupPerformance,PerformanceMetrics,"Subgroup breakdown = facet of performance."
artefact,LimitationsStatement,TechnicalDocumentation,"Limitations are a section of tech doc."
artefact,IntendedUse,TechnicalDocumentation,"Intended-use statement = part of tech doc."
artefact,BenefitRiskAssessment,RiskManagementSystem,"Benefit-risk = output of risk management."
artefact,PostMarketSurveillancePlan,TechnicalDocumentation,"PMS plan is a section of tech doc."
artefact,PostMarketMonitoringReport,PostMarketSurveillancePlan,"PMM reports are outputs of the PMS plan."
artefact,SeriousIncidentReport,PostMarketMonitoringReport,"Serious incidents are reportable under PMM."
artefact,TransparencyInformation,TechnicalDocumentation,"Transparency information for deployers = section of tech doc."
artefact,HumanOversightProvisions,TechnicalDocumentation,"Oversight provisions = section of tech doc."
artefact,CybersecurityProvisions,TechnicalDocumentation,"Cybersecurity provisions = section of tech doc."
artefact,ChangeControlPlan,TechnicalDocumentation,"PCCP / change-control plan = section of tech doc."
artefact,VersionLog,ChangeControlPlan,"Version log is a deliverable of the change-control plan."
artefact,ConformityAssessment,TechnicalDocumentation,"Conformity assessment = part of tech doc."
artefact,DeclarationOfConformity,ConformityAssessment,"Declaration of conformity = output of CA."
artefact,DeviceIdentifier,TechnicalDocumentation,"Device identifier (UDI) sits inside tech doc."
artefact,TrainingProtocol,DataGovernancePolicy,"Training protocol = part of data governance."
artefact,TestProtocol,PerformanceMetrics,"Test protocol = part of performance methods."
artefact,TrustworthinessAssessment,RiskManagementSystem,"Trustworthiness assessment = output of risk mgmt."
artefact,AccessControlPolicy,TechnicalDocumentation,"Access-control policy = section of tech doc."
artefact,AuditTrail,TechnicalDocumentation,"Audit trail = component of tech doc."
artefact,RoleAssignment,AccessControlPolicy,"Role assignment = part of access control."
artefact,LanguageLocalisation,TransparencyInformation,"Language/localisation = facet of transparency."
artefact,ChangeNotification,ChangeControlPlan,"Change notification = output of change-control."
artefact,CorrectiveAction,PostMarketSurveillancePlan,"Corrective action = output of PMS."
artefact,Registration,TechnicalDocumentation,"Registration = administrative metadata of tech doc."
artefact,ContactInformation,DeviceIdentifier,"Contact information = part of device-identifier metadata."
artefact,TemplateForm,TechnicalDocumentation,"Filled-out template = the tech doc itself."
modal,Recommended,Mandatory,"Recommended ≼ Mandatory: anything mandated implies recommendation."
modal,Permitted,Recommended,"Permitted ≼ Recommended: any recommendation implies permission."
